"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"68817099999","2021-10-02T09:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0125,1","+0065,1","10203,1",,"240,M,+0165,1","240,N,+0110,1","99999,9,10190,1","3,1,006,1,+999,9",,"4,99,0088,1,999","SYN07068817 46/// /1909 10125 20065 30190 40203 53006 333 10165 20110 91017=",
"68817099999","2021-10-02T12:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0138,1","+0027,1","10204,1","06,0008,3,1","240,M,+0165,1","240,N,+0110,1","99999,9,10191,1","6,1,001,1,+999,9",,"4,99,0113,1,999","SYN09268817 16/// /1713 10138 20027 30191 40204 56001 69981 333 10165 20110 91022 555 20008 91020=",
"68817099999","2021-10-02T18:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0117,1","+0032,1","10228,1","12,0008,3,1","120,M,+0165,1","120,N,+0117,1","99999,9,10215,1","2,1,012,1,+999,9",,"4,99,0124,1,999","SYN09268817 16/// /1808 10117 20032 30215 40228 52012 69982 333 10165 20117 91024 555 20008 91022=",
"68817099999","2021-10-02T21:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","090,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0105,1","+0042,1","10238,1",,"240,M,+0165,1","240,N,+0105,1","99999,9,10225,1","2,1,007,1,+999,9",,"4,99,0031,1,999","SYN07068817 46/// /0903 10105 20042 30225 40238 52007 333 10165 20105 91006=",
"68817099999","2021-10-03T00:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","090,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0098,1","+0040,1","10232,1","18,0008,3,1","120,M,+0165,1","120,N,+0098,1","99999,9,10219,1","9,9,000,1,+999,9",,"4,99,0026,1,999","SYN09268817 16/// /0903 10098 20040 30219 40232 50000 69983 333 10165 20098 91005 555 20008 91023=",
"68817099999","2021-10-03T03:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0098,1","+0031,1","10224,1",,"240,M,+0165,1","240,N,+0091,1","99999,9,10211,1","7,1,001,1,+999,9",,"4,99,0021,1,999","SYN07068817 46/// /1402 10098 20031 30211 40224 57001 333 10165 20091 91004=",
"68817099999","2021-10-03T06:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","060,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0094,1","+0052,1","10240,1","24,0008,3,1","240,N,+0084,1",,"99999,9,10227,1","2,1,012,1,+999,9",,"4,99,0021,1,999","SYN09268817 16/// /0602 10094 20052 30227 40240 52012 69984 333 20084 91004 555 10165 20008 91024=",
"68817099999","2021-10-03T09:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","020,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0138,1","+0052,1","10239,1",,"240,M,+0160,1","240,N,+0084,1","99999,9,10226,1","1,1,002,1,+999,9",,"4,99,0036,1,999","SYN07068817 46/// /0203 10138 20052 30226 40239 51002 333 10160 20084 91007=",
"68817099999","2021-10-03T12:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0157,1","+0048,1","10228,1",,"240,M,+0163,1","240,N,+0084,1","99999,9,10215,1","7,1,008,1,+999,9",,"4,99,0077,1,999","SYN08068817 36/// /1907 10157 20048 30215 40228 57008 333 10163 20084 91015 555 91022=",
"68817099999","2021-10-03T15:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","180,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0138,1","+0041,1","10226,1",,"240,M,+0163,1","240,N,+0138,1","99999,9,10213,1","9,9,000,1,+999,9",,"4,99,0118,1,999","SYN07068817 46/// /1813 10138 20041 30213 40226 50000 333 10163 20138 91023=",
"68817099999","2021-10-03T18:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0125,1","+0059,1","10239,1",,"120,M,+0163,1","120,N,+0124,1","99999,9,10226,1","3,1,005,1,+999,9",,"4,99,0124,1,999","SYN08068817 36/// /1715 10125 20059 30226 40239 53005 333 10163 20124 91024 555 91023=",
"68817099999","2021-10-04T03:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0114,1","+0027,1","10237,1",,"240,M,+0163,1","240,N,+0111,1","99999,9,10224,1","8,1,003,1,+999,9",,"4,99,0129,1,999","SYN07068817 46/// /1716 10114 20027 30224 40237 58003 333 10163 20111 91025=",
"68817099999","2021-10-04T09:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0160,1","+0035,1","10242,1",,"240,M,+0163,1","240,N,+0106,1","99999,9,10229,1","3,1,001,1,+999,9",,"4,99,0129,1,999","SYN07068817 46/// /1715 10160 20035 30229 40242 53001 333 10163 20106 91025=",
"68817099999","2021-10-04T12:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","180,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0190,1","+0059,1","10215,1",,"240,M,+0195,1","240,N,+0106,1","99999,9,10202,1","8,1,015,1,+999,9",,"4,99,0149,1,999","SYN08068817 36/// /1817 10190 20059 30202 40215 58015 333 10195 20106 91029 555 91021=",
